Pk,Uk
1.1791354674534934e-05,14474546.454610635
1.1794382451155009e-05,14477752.261801803
1.1798287633036778e-05,14482954.004403241
1.1803341952284665e-05,14491454.224482007
1.1809920307753606e-05,14505275.445727324
1.1823750290463576e-05,14527733.97617425
1.1836904517983896e-05,14564403.721724171
1.185512623565446e-05,14625026.322013497
1.1894882297324898e-05,14722450.299634725
1.1942202077247066e-05,14884704.158915997
1.20261858835749e-05,15151410.78810051
1.2217030776243602e-05,15589029.173059532
1.2522957504930485e-05,16325122.049074804
1.2957738972039515e-05,17572886.444240462
1.328645697054593e-05,19719130.239217166
1.3340553506944554e-05,20460844.983197995
1.3367891365026517e-05,20460298.40001798
1.3367891365026517e-05,20460298.40001798
1.3367891365026517e-05,20460298.40001798
1.3367891365026517e-05,20460298.40001798
