Pk,Uk
1.1818220242732434e-05,14105171.08195205
1.182155155534767e-05,14105125.096687507
1.182582444630842e-05,14105066.114363825
1.1831318503796568e-05,14104990.275971808
1.184268012944252e-05,14104833.445940753
1.1853087870173438e-05,14104689.78590655
1.1866582051748531e-05,14104503.527496327
1.1894788451715277e-05,14104114.214161603
1.1920901016107687e-05,14103753.819741398
1.1975957611347796e-05,14102994.012566254
1.202739811638369e-05,14102284.183127375
1.213709489214654e-05,14100770.711878251
1.2379795928401608e-05,14097423.353413817
1.2466301007189223e-05,14096230.650322586
1.2684326983831124e-05,14093225.476220066
1.2982889176897063e-05,14089112.304484675
1.2982889176897063e-05,14089112.304484675
1.2982889176897063e-05,14089112.304484675
1.2982889176897063e-05,14089112.304484675
1.2982889176897063e-05,14089112.304484675
