Pk,Uk
1.1826177299237691e-05,14921402.045092305
1.182889483787034e-05,14923888.938409872
1.1834476781880262e-05,14928489.218159767
1.1839613088960404e-05,14932564.306339929
1.1846276587988198e-05,14937577.122499136
1.1855009512982688e-05,14944154.155326564
1.187321163835243e-05,14956301.163366988
1.1890161463436467e-05,14967044.832552621
1.1912559602376332e-05,14981327.189057041
1.195982725511631e-05,15007902.358196605
1.200473014606073e-05,15034023.185829237
1.210077668530223e-05,15085091.37989404
1.2192709289364734e-05,15134940.235015344
1.2317456238784454e-05,15209813.91958946
1.2600325743285676e-05,15442436.80700044
1.2930457056542458e-05,16098049.706438871
1.3367891365026517e-05,20460298.40001798
1.3367891365026517e-05,20460298.40001798
1.3367891365026517e-05,20460298.40001798
1.3367891365026517e-05,20460298.40001798
