Pk,Uk
1.2684326983831124e-05,14093225.476220066
1.2813670483673345e-05,15906955.109249244
1.3112055976283981e-05,17951136.782452207
1.3275018554270405e-05,20260696.249608025
1.3343810672622075e-05,22869504.1811801
1.3372522325232657e-05,25815238.593294457
1.3385144296737133e-05,29140860.0923136
1.3389412094325291e-05,32895169.886577766
1.3393214307972974e-05,37133176.25994134
1.3395126559864518e-05,41917258.07672467
1.3396236136253551e-05,47317737.93011463
1.3396859996475961e-05,53414022.96324174
1.3397237707256313e-05,60295750.81453467
1.3397472358897121e-05,68064112.62081122
1.3397621107975955e-05,76833338.22267094
1.3397718748020633e-05,86732375.25543752
1.3397784577106993e-05,97906785.32639234
1.339783008941608e-05,110520884.21441095
1.3397862320937567e-05,124760157.99445021
1.3397885643666378e-05,140833990.50716713
