Pk,Uk
1.3319688791770567e-05,20461262.164365787
1.3290839536271426e-05,20474392.672066048
1.325969261799954e-05,20506969.75353572
1.3230073291676377e-05,20582597.715912174
1.3202255437513043e-05,20676861.64026134
1.3397521590153037e-05,37502246.47857921
1.3397758925791557e-05,42333947.03067311
1.3397862468287825e-05,47788158.6778187
1.3397911064582645e-05,53945081.72776695
1.3397935403424163e-05,60895250.876096606
1.339794831845892e-05,68740865.74508987
1.3397955534173345e-05,77597293.41314904
1.3397959755177852e-05,87594764.73565295
1.3397962327665059e-05,98880289.2982581
1.3397963954129028e-05,111619817.12322281
1.3397965016887743e-05,126000678.9007628
1.339796573215523e-05,142234340.62176687
1.3397966226536236e-05,160559513.11507434
1.3397966576544637e-05,181245662.2127538
1.339796682977165e-05,204596971.1586152
