Pk,Uk
1.2821661693927827e-05,14091333.172695816
1.2923683586813418e-05,15905244.352600278
1.3165052093943168e-05,17950206.980798904
1.3289280622443176e-05,20260413.86667232
1.3349820180966745e-05,22869369.882552683
1.3375197115034097e-05,25815171.120155465
1.3386409440248362e-05,29140824.067436077
1.3389961939347091e-05,32895152.21272314
1.3393397628839706e-05,37133169.60826069
1.3395212057989795e-05,41917254.574805826
1.339625339639327e-05,47317737.132075004
1.3396868092350438e-05,53414022.54069479
1.339724081246282e-05,60295750.63158444
1.3397472883213396e-05,68064112.58594
1.3397621300130649e-05,76833338.2082446
1.3397718808015982e-05,86732375.25035295
1.3397784586345958e-05,97906785.32550845
1.3397830093154664e-05,110520884.2140072
1.3397862322595565e-05,124760157.99424809
1.3397885644049492e-05,140833990.5071144
