Pk,Uk
1.260057998198516e-05,15444028.49795261
1.2698887020913922e-05,15778170.060226496
1.3008331632920073e-05,17805608.66733546
1.3395480394620244e-05,29430320.53425633
1.3396967576956096e-05,33222012.70578427
1.3397529880429247e-05,37502246.1747833
1.3397760756691157e-05,42333946.954935975
1.3397862853183501e-05,47788158.659845784
1.339791113976416e-05,53945081.72380403
1.3397935416764406e-05,60895250.875302754
1.3397948320826398e-05,68740865.7449309
1.3397955534686522e-05,77597293.41311021
1.3397959755335502e-05,87594764.73563947
1.339796232766042e-05,98880289.29825856
1.3397963954128944e-05,111619817.12322284
1.339796501688774e-05,126000678.9007628
1.3397965732155238e-05,142234340.62176687
1.339796622653624e-05,160559513.11507434
1.3397966576544637e-05,181245662.2127538
1.339796682977165e-05,204596971.1586152
