Pk,Uk
8.046501089087034e-05,13108744.59195866
6.495150541691264e-05,13297927.620178327
5.256143800724364e-05,13452988.978260277
4.262093409778679e-05,13580033.278065028
3.461660477428346e-05,13684089.692719907
2.8152393609233546e-05,13769295.724049946
2.2919580377169106e-05,13839051.544570561
1.8675455564182894e-05,13896148.913552009
1.5227855021096803e-05,13942878.399399016
1.2423746423202697e-05,13981118.263580501
1.0140675692231312e-05,14012407.950046703
8.28027030922718e-06,14044380.407235395
6.7632372602058866e-06,14058953.737110397
5.525530354164244e-06,14076088.573815167
4.515251448658008e-06,14090105.884385763
3.690305071512155e-06,14101572.484929116
3.0164886464361846e-06,14110952.264297208
2.4659791327001433e-06,14118624.831701424
2.016120788127363e-06,14124900.8001015
1.648450603654572e-06,14130034.307576094
1.3479124387050925e-06,14134233.27266935
1.1022217281435518e-06,14137667.791693622
9.013508436989122e-07,14140477.013217494
7.371114795050851e-07,14142774.764954984
6.028152902663365e-07,14144654.158844909
4.929977976945775e-07,14146191.35945531
4.031935546585024e-07,14147448.667443823
3.2975290671937487e-07,14148477.042381646
2.696925585062865e-07,14152820.091269897
2.2057363800570825e-07,14156428.814923765
