Pk,Uk
1.3091060850184336e-05,14701569.480854515
1.3091061083339584e-05,14702773.640552327
1.3091061720042594e-05,14704731.16683447
1.3091063436582897e-05,14707914.160018103
1.3091068012271869e-05,14713074.662190476
1.3091080157304641e-05,14721449.247284852
1.3091112232461745e-05,14735018.512762321
1.3091196735108638e-05,14757004.231494272
1.3091418858036074e-05,14792614.252591982
1.3091977997144736e-05,14848396.874652477
1.3093506032722157e-05,14942809.846310548
1.309774144209023e-05,15103483.855775256
1.3110406733430742e-05,15397779.476739801
1.3103607021890511e-05,16056689.257122599
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671257
